City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
320,sydney mines,46.2367,-60.2177,70.79,87,20,4.61,CA,1690425768
321,yueyang,29.3333,113.0919,89.74,67,45,8.03,CN,1690425768
322,al kharijah,25.4514,30.5464,87.22,20,100,6.11,EG,1690425677
323,inarajan village,13.2736,144.7484,81.57,90,100,7.99,GU,1690425769
324,petropavlovsk-kamchatsky,53.0452,158.6483,72.19,64,20,13.42,RU,1690425769
325,toliara,-23.35,43.6667,62.58,55,0,15.48,MG,1690425721
326,ormara,25.2088,64.6357,83.12,87,100,11.01,PK,1690425769
327,enewetak,11.3474,162.3373,83.34,77,100,12.95,MH,1690425769
328,lerwick,60.1545,-1.1494,50.0,87,0,1.97,GB,1690425769
329,nizhnesortymskiy,62.4397,71.7603,62.51,91,99,6.6,RU,1690425769
330,broome,42.2506,-75.833,77.45,73,0,7.0,US,1690425769
331,coquimbo,-29.9533,-71.3436,55.13,87,0,4.61,CL,1690425770
332,sisimiut,66.9395,-53.6735,39.81,91,49,7.78,GL,1690425770
333,christchurch,-43.5333,172.6333,52.92,61,40,13.8,NZ,1690425608
334,mahibadhoo,3.7833,72.9667,82.85,77,23,6.91,MV,1690425770
335,hirara,24.8,125.2833,88.07,79,75,26.46,JP,1690425770
336,carqueiranne,43.0953,6.073,72.5,40,20,4.61,FR,1690425770
337,shevchenkove,49.6959,37.1735,65.14,75,18,8.19,UA,1690425770
338,mpika,-11.8343,31.4529,47.95,77,4,5.08,ZM,1690425770
339,colonia,50.9333,6.95,62.96,69,0,8.05,DE,1690425770
340,okayama,34.6617,133.935,94.73,66,75,3.44,JP,1690425771
341,makokou,0.5738,12.8642,69.42,96,79,2.8,GA,1690425771
342,vernon,50.2581,-119.2691,77.36,29,2,3.44,CA,1690425484
343,worland,44.0169,-107.9554,84.65,29,0,9.22,US,1690425771
344,bambanglipuro,-7.95,110.2833,79.18,63,89,10.65,ID,1690425771
345,paradip garh,20.3167,86.6167,85.93,77,40,19.91,IN,1690425771
346,kanniyakumari,8.0833,77.5667,81.1,74,79,16.64,IN,1690425771
347,jamestown,42.097,-79.2353,71.19,97,100,8.05,US,1690425501
348,kurduvadi,18.0833,75.4333,72.81,95,100,11.95,IN,1690425771
349,papao,-17.75,-149.55,76.68,79,37,4.18,PF,1690425772
350,formosa do rio preto,-11.0483,-45.1931,66.72,49,34,2.1,BR,1690425772
351,praia da vitoria,38.7333,-27.0667,72.75,88,20,6.73,PT,1690425772
352,port douglas,-16.4833,145.4667,74.25,68,44,15.52,AU,1690425772
